state,mean,sd,count
AB,10.636952916842015,5.660271143619252,1958
ACT,24.761183222700037,12.499860116970645,2
AL,11.269764449785885,6.390862629802321,523
AR,12.127644620333045,6.336920855282017,487
AZ,11.702294364736149,6.242341121036168,969
BC,11.03209926341871,6.862122074614787,123
CA,11.446380602637507,5.736194108179484,3247
CO,10.331047599645194,5.317691390541613,1192
CT,10.314922878349968,4.95126014824237,419
DC,10.924387936096132,5.793321972010167,172
DE,10.545897281753573,5.30228665744907,113
FL,12.76339284439156,6.3794125353234215,1431
GA,10.865084665656566,5.766922120046975,2462
IA,10.401323795503984,5.168960677183372,392
ID,10.29267365478807,5.738846682272731,177
IL,10.414514610513265,5.2682073059590016,3586
IN,10.411761828780659,5.506454186307028,1159
KS,12.25819984016844,6.064325483074635,473
KY,10.911529142610828,5.695240588255456,471
LA,13.521630142435916,6.529695475875233,305
MA,10.150198648533872,5.040402214343034,1188
MB,9.19478233977809,4.930231640271984,170
MD,10.384937007218346,5.491432456640252,1963
ME,8.80700845616944,2.8181014044128534,9
MI,10.23070201181817,5.8138830748216,2191
MN,9.074828390699624,4.986606954110556,1128
MO,11.644376236858898,5.967465160472062,1001
MS,13.33285098338052,6.890732159841331,171
MT,9.882555375831977,7.064438891723534,27
NB,10.588457974176098,5.407477525320016,15
NC,10.807926391537263,5.460113941223524,2265
ND,10.183070651269805,3.9810721214409948,58
NE,11.462375048311758,5.911076656975449,272
NEW SOUTH WALES,12.186680359890588,6.203202999652342,2
NH,9.90623668014917,4.890215461690746,155
NJ,10.99279031554258,5.614943629667265,1371
NM,11.810472209124224,5.582044387715673,162
NS,9.338485127981267,4.445703427668535,12
NU,22.734529565244372,0.3830472434818538,2
NUEVO LEON,7.566170738668266,7.8474417880298795,4
NV,9.997840708043105,6.0780762343157875,343
NY,11.375534670610444,5.970693840942154,1183
OH,10.322864080259915,5.723061952277179,1580
OK,12.191829996790156,6.144355083423109,396
ON,8.85690535456645,5.2037572768045,4323
OR,10.536570501184336,5.832895927112304,428
PA,11.100938390199234,5.63310864644981,1450
PR,13.465552165077993,6.61423418990609,8
QC,9.883324275990459,5.345845721524875,398
RI,10.830561295508224,4.838763749439776,143
SC,10.96710473732834,5.916614738275932,880
SD,9.331346457538968,4.375559595226922,75
SK,8.998207028505536,4.491163506453763,124
SURREY,6.952806742516323,1.594150976012827,2
TEHRAN,13.852892613767045,4.190910986881945,3
TN,11.461284475845991,5.9528365087614805,1062
TX,12.423933332286856,6.965614154607925,4346
UT,11.25232885260875,5.480825107227323,1081
VA,10.328925309318201,5.365665541420394,1751
VERACRUZ,9.47276626038287,1.8485261621074232,3
VT,8.589443787257506,4.2708964939318665,16
WA,10.338403577742337,5.298108462374214,514
WI,9.569743988455036,4.985449420547479,1000
WV,10.993922935340244,5.616252423354678,114
WY,11.359887533181933,6.307549323218003,35
